1,Lehmann Lovegrass,-6.4496384,53.3582341,50 metros cuadrados,Clondalkin,Babimost
2,Saelania Moss,-11.693428,7.554461,100 hectareas,Gandorhun,Britton
3,Eucalyptus,123.703,13.0748,3000 hectareas,Aanislag,Tari
4,Giant Sedge,19.0193063,54.0433255,400 metros cuadrados,Malbork,Los Mochis
5,Arkansas Dozedaisy,-82.4861053,35.6046911,700 metros cuadrados,Asheville,Ngau
6,White Cudweed,51.2453739,25.8447931,54321 hectareas,Al Ghuwayrīyah,Riyadh
7,Lemon Scurfpea,124.3090475,13.869601,77776 hectareas,Viga,Bhagatanwala
8,Yellow Willow,-58.4389753,-34.8411832,877 metros cuadrados,General Alvear,Pama
9,Waianae Range Tetramolopium,25.0635741,42.9871344,12 hectareas,Sevlievo,Guaíra
10,Tussock Cottongrass,173.94869,-35.229035,865 metros cuadrados,Kerikeri,Kanpur
